Target	AverageTargetDepthAcrossHSP	max100AverageTargetDepth
allCTS_:_contig106335|TMEM43|6_:_Contig001_contig106335|TMEM43|6	4.50105054541696	5.72551045017691
allCTS_:_contig106347|DYSF|6_:_Contig003_contig106347|DYSF|6	0.322015993380214	0.360328010777811
allCTS_:_contig106371|FARSB|6_:_Contig001_contig106371|FARSB|6	5.03489550449972	7.26415921679527
allCTS_:_contig106384|TES|11_:_Contig001_contig106384|TES|11	6.78153418876859	7.99495778749873
allCTS_:_contig106393|OGT|6_:_Contig001_contig106393|OGT|6	5.50275532218538	6.50945592583346
allCTS_:_contig106399|CHD6|11_:_Contig001_contig106399|CHD6|11	11.1036058514838	13.7670435696235
allCTS_:_contig106418|CEP170|6_:_Contig001_contig106418|CEP170|6	11.6253958557517	15.3851390086578
allCTS_:_contig106433|SLC7A1|7_:_Contig001_contig106433|SLC7A1|7	8.81029277244857	10.7641723233249
allCTS_:_contig106441|KPNB1|6_:_Contig005_contig106441|KPNB1|6	10.7060246360453	12.2212837864971
allCTS_:_contig106456|MAPRE2|11_:_Contig001_contig106456|MAPRE2|11	5.38037380038732	6.03673261652364
allCTS_:_contig106464|DES|8_:_Contig001_contig106464|DES|8	4.42199702008035	5.56496844736836
allCTS_:_contig106487|RNF8|6_:_Contig001_contig106487|RNF8|6	11.3010025296448	14.5444004930404
allCTS_:_contig106521|CMKLR1|12_:_Contig001_contig106521|CMKLR1|12	12.8633497451352	15.9784231323787
allCTS_:_contig106537|MIER3|7_:_Contig001_contig106537|MIER3|7	8.08112427350802	8.66017950486465
allCTS_:_contig106545|MYO10|12_:_Contig001_contig106545|MYO10|12	11.0936826605586	14.2714771025035
allCTS_:_contig106553|SDF4|11_:_Contig001_contig106553|SDF4|11	8.28825876549121	10.8581157455996
allCTS_:_contig106569|MTMR14|11_:_Contig001_contig106569|MTMR14|11	7.46493703198813	9.42236156494218
allCTS_:_contig106609|KITLG|11_:_Contig001_contig106609|KITLG|11	5.82302755163282	6.36502805704309
allCTS_:_contig106631|WDR45L|3_:_Contig001_contig106631|WDR45L|3	11.0915329662555	12.3944869314189
allCTS_:_contig106641|TP53RK|6_:_Contig001_contig106641|TP53RK|6	8.88927987506759	10.7319157739664
allCTS_:_contig106665|DNAJB6|6_:_Contig001_contig106665|DNAJB6|6	6.72767319076579	6.84232017389364
allCTS_:_contig106719|OGFOD2|8_:_Contig003_contig106719|OGFOD2|8	15.2822426094493	17.1317274302507
allCTS_:_contig106732|NUSAP1|8_:_Contig001_contig106732|NUSAP1|8	2.23760652087602	2.32628223535398
allCTS_:_contig106755|FAM18B1|4_:_Contig002_contig106755|FAM18B1|4	5.70300119491196	6.047880357788
allCTS_:_contig106762|FAM172A|8_:_Contig001_contig106762|FAM172A|8	6.00164847837166	7.35061891134945
allCTS_:_contig106823|CCT5|6_:_Contig001_contig106823|CCT5|6	4.92039272296075	5.76585005907891
allCTS_:_contig106905|TMEM205|11_:_Contig001_contig106905|TMEM205|11	0.667345849687727	0.800312140526
allCTS_:_contig106994|ZC3H7B|8_:_Contig001_contig106994|ZC3H7B|8	3.94921682901655	4.50365769095636
allCTS_:_contig106999|GNG11|6_:_Contig001_contig106999|GNG11|6	10.9616683190912	12.2621898534791
allCTS_:_contig107039|GNMT|3_:_Contig001_contig107039|GNMT|3	3.89033504587557	4.13729930263838
allCTS_:_contig107068|FGF18|6_:_Contig001_contig107068|FGF18|6	4.09669899152937	4.92226473514
allCTS_:_contig107111|MEAF6|4_:_Contig001_contig107111|MEAF6|4	9.86360677849819	10.1585011231362
allCTS_:_contig107147|C1orf123|8_:_Contig003_contig107147|C1orf123|8	17.1857690108939	20.5990967399189
allCTS_:_contig107232|MPND|11_:_Contig001_contig107232|MPND|11	3.19961955860391	3.76752002009127
allCTS_:_contig107241|NDUFAF1|6_:_Contig001_contig107241|NDUFAF1|6	5.1199054036297	6.14878216205577
allCTS_:_contig107255|RUNX1|6_:_Contig001_contig107255|RUNX1|6	9.09840024679158	11.4803758623482
allCTS_:_contig107274|ASMTL|7_:_Contig012_contig107274|ASMTL|7	13.4153459817755	16.5067364596045
allCTS_:_contig107295|TXNDC15|8_:_Contig001_contig107295|TXNDC15|8	10.1395758048704	12.3391338660293
allCTS_:_contig107377|NSMCE1|8_:_Contig002_contig107377|NSMCE1|8	2.34316889664501	2.47179261013255
allCTS_:_contig107407|C5orf51|11_:_Contig001_contig107407|C5orf51|11	14.09424237089	17.669623118092
allCTS_:_contig107423|LYAR|11_:_Contig001_contig107423|LYAR|11	12.1893512021546	14.1254184501153
allCTS_:_contig107439|RSU1|8_:_Contig001_contig107439|RSU1|8	6.19209188309937	7.32213413077909
allCTS_:_contig107670|KCNE3|11_:_Contig001_contig107670|KCNE3|11	2.72579040311342	3.27619803738582
allCTS_:_contig107703|TIMM22|11_:_Contig016_contig107703|TIMM22|11	11.2824107294094	19.3159640475716
allCTS_:_contig107727|MRPS18A|6_:_Contig002_contig107727|MRPS18A|6	7.04761006494959	9.62575638230909
allCTS_:_contig107818|TCEB1|8_:_Contig001_contig107818|TCEB1|8	11.5330726645924	14.0076683693747
allCTS_:_contig108330|GOLM1|8_:_Contig001_contig108330|GOLM1|8	7.11834180839232	8.54263952671182
allCTS_:_contig108349|ALDH3A1|11_:_Contig003_contig108349|ALDH3A1|11	3.89469054373027	4.64197334605327
allCTS_:_contig108351|ATF7IP|8_:_Contig001_contig108351|ATF7IP|8	4.71316918652697	7.18370761022564
allCTS_:_contig108369|MFSD6|8_:_Contig001_contig108369|MFSD6|8	9.46955741862914	11.1965434988856
allCTS_:_contig108395|SEC31A|8_:_Contig001_contig108395|SEC31A|8	4.7659404207769	5.32148240511618
allCTS_:_contig108400|LGALS3BP|11_:_Contig001_contig108400|LGALS3BP|11	9.12922248476197	10.2875550380882
allCTS_:_contig108410|MCOLN1|6_:_Contig002_contig108410|MCOLN1|6	1.71224339990895	1.85515775706877
allCTS_:_contig108415|SMPDL3A|11_:_Contig001_contig108415|SMPDL3A|11	12.0450978195478	14.2563053600164
allCTS_:_contig108434|VMP1|8_:_Contig001_contig108434|VMP1|8	8.9460081033782	11.2883275141571
allCTS_:_contig108439|INSR|6_:_Contig001_contig108439|INSR|6	4.89018893401404	6.17360151525036
allCTS_:_contig108447|C3orf70|6_:_Contig001_contig108447|C3orf70|6	3.75335243421527	4.50638141797945
allCTS_:_contig108472|STAG2|3_:_Contig001_contig108472|STAG2|3	8.41706125872736	9.32081151039036
allCTS_:_contig108497|PPIG|8_:_Contig001_contig108497|PPIG|8	8.09448532318134	8.73862895686236
allCTS_:_contig108519|FXR1|3_:_Contig001_contig108519|FXR1|3	8.90695909260708	9.09890727238055
allCTS_:_contig108551|TXNRD1|3_:_Contig003_contig108551|TXNRD1|3	2.69322984276573	2.92858801485829
allCTS_:_contig108569|PACSIN3|5_:_Contig001_contig108569|PACSIN3|5	2.27541462372405	2.4156531023801
allCTS_:_contig108580|DLG1|11_:_Contig001_contig108580|DLG1|11	8.30605192761061	9.15522808994905
allCTS_:_contig108591|TOMM40L|6_:_Contig001_contig108591|TOMM40L|6	6.61211852364303	7.73961072090564
allCTS_:_contig108643|UAP1|11_:_Contig001_contig108643|UAP1|11	2.71901134507746	3.4094295012242
allCTS_:_contig108663|ARHGAP27|11_:_Contig001_contig108663|ARHGAP27|11	9.19268632271115	11.1151322351542
allCTS_:_contig108718|GDAP1|8_:_Contig001_contig108718|GDAP1|8	10.7252424844214	12.5588527853055
allCTS_:_contig108720|TMEM106B|6_:_Contig001_contig108720|TMEM106B|6	4.615024674035	5.39510911351334
allCTS_:_contig108752|ITM2B|8_:_Contig001_contig108752|ITM2B|8	9.09407114976868	10.9093073829409
allCTS_:_contig108933|SEC16A|11_:_Contig001_contig108933|SEC16A|11	4.00333781263849	4.81835117396625
allCTS_:_contig109012|ING1|6_:_Contig001_contig109012|ING1|6	14.2053775087767	16.6534614144267
allCTS_:_contig109060|CPA3|11_:_Contig001_contig109060|CPA3|11	14.4140179550058	17.0915723855114
allCTS_:_contig109066|SEC22A|11_:_Contig001_contig109066|SEC22A|11	14.0770580295805	17.6138060102622
allCTS_:_contig109154|ATP5J|11_:_Contig002_contig109154|ATP5J|11	19.0284602649426	22.633145434526
allCTS_:_contig109283|CCDC103|11_:_Contig001_contig109283|CCDC103|11	10.0322902614362	12.5633942427342
allCTS_:_contig109357|FCHO1|11_:_Contig001_contig109357|FCHO1|11	2.91920546881667	3.47233698346855
allCTS_:_contig109369|SURF6|8_:_Contig001_contig109369|SURF6|8	7.91467216408417	9.43584041222673
allCTS_:_contig109394|BOD1|11_:_Contig001_contig109394|BOD1|11	7.09508451550735	7.30548103275982
allCTS_:_contig109523|ANKRD46|6_:_Contig001_contig109523|ANKRD46|6	4.36948541945012	5.4784588426563
allCTS_:_contig109576|DIP2A|6_:_Contig001_contig109576|DIP2A|6	5.22986908181031	5.39861503146382
allCTS_:_contig109633|SNRPA1|6_:_Contig002_contig109633|SNRPA1|6	12.5346868728385	14.3914491218149
allCTS_:_contig109679|FAM120B|11_:_Contig001_contig109679|FAM120B|11	11.5005277901346	13.2158235824542
allCTS_:_contig109779|EXOSC8|11_:_Contig001_contig109779|EXOSC8|11	22.3716194249103	26.1361163345438
